,hidden_nodes,learning_rate,epochs,performance,training_time
286,20.0,0.3,8.0,0.9151,210.07
287,20.0,0.3,9.0,0.9168,235.98
288,20.0,0.4,1.0,0.8849,24.83
289,20.0,0.4,10.0,0.9133,208.63
290,20.0,0.4,15.0,0.9242,420.81
291,20.0,0.4,2.0,0.8873,57.03
292,20.0,0.4,20.0,0.9212,513.83
293,20.0,0.4,3.0,0.907,85.08
294,20.0,0.4,4.0,0.9093,113.08
295,20.0,0.4,5.0,0.919,140.32
296,20.0,0.4,6.0,0.9121,169.22
297,20.0,0.4,7.0,0.9106,199.39
298,20.0,0.4,8.0,0.9175,229.7
299,20.0,0.4,9.0,0.9048,210.08
300,20.0,0.5,1.0,0.8371,14.82
301,20.0,0.5,10.0,0.8851,152.26
302,20.0,0.5,15.0,0.8999,225.52
303,20.0,0.5,2.0,0.8721,29.18
304,20.0,0.5,20.0,0.9051,304.12
305,20.0,0.5,3.0,0.8787,51.17
306,20.0,0.5,4.0,0.8996,59.91
307,20.0,0.5,5.0,0.8892,74.57
308,20.0,0.5,6.0,0.897,89.99
309,20.0,0.5,7.0,0.8985,105.68
310,20.0,0.5,8.0,0.9038,120.25
311,20.0,0.5,9.0,0.9131,135.65
312,20.0,0.6,1.0,0.8642,14.36
313,20.0,0.6,10.0,0.898,142.76
314,20.0,0.6,15.0,0.8977,325.38
315,20.0,0.6,2.0,0.8832,28.22
316,20.0,0.6,20.0,0.9067,337.26
317,20.0,0.6,3.0,0.8981,41.52
318,20.0,0.6,4.0,0.8816,55.02
319,20.0,0.6,5.0,0.8814,70.13
320,20.0,0.6,6.0,0.91,86.41
321,20.0,0.6,7.0,0.8907,100.05
322,20.0,0.6,8.0,0.8963,113.1
323,20.0,0.6,9.0,0.9106,131.14
324,20.0,0.7,1.0,0.8675,15.39
325,20.0,0.7,10.0,0.8828,162.93
326,20.0,0.7,15.0,0.884,226.08
327,20.0,0.7,2.0,0.8881,51.56
328,20.0,0.7,20.0,0.8835,305.26
329,20.0,0.7,3.0,0.8591,47.87
330,20.0,0.7,4.0,0.8923,59.71
331,20.0,0.7,5.0,0.8931,74.16
332,20.0,0.7,6.0,0.8659,88.53
333,20.0,0.7,7.0,0.8822,103.25
334,20.0,0.7,8.0,0.8915,117.91
335,20.0,0.7,9.0,0.8589,155.45
336,20.0,0.8,1.0,0.8245,15.41
337,20.0,0.8,10.0,0.9039,278.89
338,20.0,0.8,15.0,0.8972,424.42
339,20.0,0.8,2.0,0.8757,30.45
340,20.0,0.8,20.0,0.8838,462.74
341,20.0,0.8,3.0,0.8834,45.67
342,20.0,0.8,4.0,0.8577,113.77
343,20.0,0.8,5.0,0.8853,142.81
344,20.0,0.8,6.0,0.9069,93.65
345,20.0,0.8,7.0,0.8728,106.02
346,20.0,0.8,8.0,0.8893,120.49
347,20.0,0.8,9.0,0.8911,234.37
348,20.0,0.9,1.0,0.8652,15.14
349,20.0,0.9,10.0,0.8954,151.44
350,20.0,0.9,15.0,0.8762,228.93
351,20.0,0.9,2.0,0.865,30.75
352,20.0,0.9,20.0,0.8891,303.23
353,20.0,0.9,3.0,0.8658,45.56
354,20.0,0.9,4.0,0.8638,60.05
355,20.0,0.9,5.0,0.8836,75.23
356,20.0,0.9,6.0,0.8846,90.78
357,20.0,0.9,7.0,0.8951,107.32
